City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,saint-pierre,-21.3393,55.4781,20.82,68,3,3.09,RE,1726180971
222,tsiombe,-25.3,45.4833,18.24,69,11,5.16,MG,1726180973
223,naha,26.2125,127.6811,27.95,85,75,4.63,JP,1726180729
224,talara,-4.5772,-81.2719,21.42,83,0,7.2,PE,1726180975
225,mandalgovi,45.7625,106.2708,7.61,86,100,5.36,MN,1726180977
226,namtsy,62.7161,129.6658,5.85,78,100,7.59,RU,1726180978
227,kalabo,-14.97,22.6814,23.1,31,9,3.21,ZM,1726180980
228,khvansar,33.2205,50.315,16.44,20,11,2.69,IR,1726180981
229,sibanicu,21.235,-77.5264,28.18,75,100,3.89,CU,1726180982
230,nouadhibou,20.931,-17.0347,20.99,83,0,9.26,MR,1726180983
231,st. john's,47.5649,-52.7093,16.2,75,20,3.09,CA,1726180721
232,kavaratti,10.5669,72.642,26.86,85,97,3.43,IN,1726180985
233,dolinsk,47.35,142.8,13.85,51,99,3.81,RU,1726180986
234,rudnichnyy,59.617,52.4703,13.79,98,45,1.88,RU,1726180988
235,machico,32.7,-16.7667,22.78,74,40,9.77,PT,1726180989
236,moshi,-3.35,37.3333,18.37,83,74,0.44,TZ,1726180990
237,kristinestad,62.2743,21.376,12.34,82,100,1.53,FI,1726180992
238,san carlos,9.6612,-68.5827,26.08,86,100,2.0,VE,1726180993
239,selfoss,63.9331,-20.9971,6.14,80,88,1.8,IS,1726180995
240,dombarovskiy,50.7587,59.5386,12.55,62,0,6.62,RU,1726180996
241,baker city,44.7749,-117.8344,17.84,48,100,4.63,US,1726180998
242,egilsstadir,65.2653,-14.3948,1.95,64,20,1.03,IS,1726180999
243,ust'-uda,54.1742,103.0304,0.87,93,1,1.25,RU,1726181001
244,la sarre,48.8002,-79.1996,20.53,80,44,1.32,CA,1726181002
245,princeville,45.7668,-61.2985,16.36,83,0,1.54,CA,1726180876
246,mount isa,-20.7333,139.5,20.87,21,0,6.17,AU,1726181004
247,nadi,-17.8,177.4167,30.0,54,20,3.6,FJ,1726181005
248,fort st. john,56.2499,-120.8529,18.94,45,40,2.57,CA,1726181006
249,sitka,57.0531,-135.33,14.94,72,100,3.6,US,1726181007
250,uturoa,-16.7333,-151.4333,25.91,82,41,8.11,PF,1726181009
251,zhezqazghan,47.7833,67.7667,11.04,45,1,8.93,KZ,1726181010
252,carutapera,-1.195,-46.02,26.05,78,41,5.17,BR,1726181011
253,greymouth,-42.4667,171.2,8.07,95,100,4.05,NZ,1726181012
254,verkhnevilyuysk,63.4453,120.3167,2.08,84,55,3.99,RU,1726181013
